src,tgt,dist,src_lab,tgt_lab
2,33,49.68500498111861,37037,37063
2,202,41.48125859979215,37037,37135
2,231,50.795068607641134,37037,37085
3,175,40.056081422776224,39085,39007
3,307,31.06650836043793,39085,39055
3,372,41.9751853867085,39085,39035
5,206,35.75593914028461,51095,51700
8,245,42.94171097098931,22105,22117
8,258,49.476874614107594,22105,22103
8,336,53.68609747006512,22105,22095
8,358,36.7409573582191,22105,22063
9,128,22.71930546142469,25015,25013
9,136,45.68081407930553,25015,25003
10,359,36.08221791667119,25025,25009
10,398,22.884724538898265,25025,25021
10,407,45.222096533505685,25025,25023
11,184,42.951606584706894,28017,28095
12,28,62.43692121508306,12127,12095
12,113,62.74829319648135,12127,12069
12,139,40.989791785797806,12127,12117
12,356,95.69718382969505,12127,12009
13,46,41.47859129731944,13115,13129
13,112,34.60473837940811,13115,13015
15,52,56.24075665300992,09007,36103
15,93,34.795645808285435,09007,09011
15,152,32.818190326482316,09007,09009
16,22,28.029763359879443,13063,13089
16,106,19.32747989225664,13063,13113
16,161,21.186236700497616,13063,13151
16,268,29.411969569693852,13063,13121
17,137,58.362743923403315,42043,42107
17,197,54.84406479265601,42043,42133
17,327,48.51445157305464,42043,42041
17,345,28.13639239281264,42043,42075
17,395,61.7944509997092,42043,42071
18,76,38.80222700969879,39133,39155
18,181,41.9200361445384,39133,39151
18,187,39.83674622493885,39133,39099
18,307,36.785569533148454,39133,39055
18,372,54.792929325219326,39133,39035
18,392,28.780404606031105,39133,39153
21,71,50.185179589726005,48041,48477
22,161,35.957457958369694,13089,13151
22,205,27.937902384276413,13089,13135
22,236,22.71548109413378,13089,13247
22,268,22.454861491467515,13089,13121
23,249,64.36736703673363,37069,37101
24,135,34.55970302435845,24510,24003
26,151,39.631012261930294,51085,51087
27,404,77.24303422545199,48215,48061
28,113,47.034132183001084,12095,12069
28,139,27.025792272273822,12095,12117
28,265,72.13415470097658,12095,12105
28,324,53.743075391062945,12095,12097
28,356,65.49488164915384,12095,12009
29,67,42.523948282835526,13045,13223
29,199,31.871600869590388,13045,13097
29,268,61.18698625461291,13045,13121
30,160,43.816820335162184,18173,21059
32,235,43.70459463387309,47149,47187
32,314,49.04406428406854,47149,47037
33,202,21.9813676467645,37063,37135
34,36,50.73782575669176,12011,12099
34,42,64.27508734733617,12011,12086
34,284,92.6233176895933,12011,12021
35,178,47.98167340920942,26163,26161
35,274,51.739280339291874,26163,26099
35,343,42.971988930943006,26163,26125
36,169,48.56719856001672,12099,12085
37,314,44.63631087220336,47165,47037
38,413,52.97330341672777,41051,41067
39,74,86.80225794704525,06067,06061
39,150,79.36160633215513,06067,06013
39,195,54.84773137542738,06067,06113
39,271,57.627957253957945,06067,06077
