src,tgt,dist,src_lab,tgt_lab,isnbr,src_lab_,tgt_lab_,wts
1,303,72.60142558359937,31109,31055,FALSE,31055,31109,1
1,713,92.04451400661253,31109,31177,FALSE,31109,31177,1
2,118,45.24765487345868,46099,46087,FALSE,46087,46099,1
2,396,145.02483855422793,46099,46005,FALSE,46005,46099,1
3,863,34.55848380988943,39063,39175,FALSE,39063,39175,1
3,776,40.18987558232985,39063,39173,FALSE,39063,39173,1
4,345,50.813206283080184,48189,48303,FALSE,48189,48303,1
4,743,65.41242187719891,48189,48069,FALSE,48069,48189,1
5,632,25.413165841758012,39003,39011,FALSE,39003,39011,1
5,3,44.89089210536884,39003,39063,TRUE,39003,39063,1
6,807,49.71181199643807,55111,55021,FALSE,55021,55111,1
6,830,57.78843318195177,55111,55057,FALSE,55057,55111,1
7,646,31.06650836043793,39085,39055,FALSE,39055,39085,1
7,358,40.056081422776224,39085,39007,FALSE,39007,39085,1
8,20,38.02034450403152,47065,47115,FALSE,47065,47115,1
8,97,78.62108283484119,47065,13129,FALSE,13129,47065,1
9,810,83.51725975191749,01091,28075,FALSE,01091,28075,1
9,243,83.5866013320282,01091,01099,FALSE,01091,01099,1
10,798,35.751474137326966,51095,51199,FALSE,51095,51199,1
10,411,35.75593914028461,51095,51700,FALSE,51095,51700,1
11,844,46.22837576002671,22019,22011,FALSE,22011,22019,1
11,163,52.231267822937234,22019,22053,FALSE,22019,22053,1
12,692,44.05663792842372,22111,22073,FALSE,22073,22111,1
12,414,53.761901826612466,22111,22067,FALSE,22067,22111,1
13,495,49.91000333606816,40135,40021,FALSE,40021,40135,1
13,101,58.68657370120636,40135,40101,FALSE,40101,40135,1
14,46,52.76463977217671,36101,36003,FALSE,36003,36101,1
14,31,56.583118984710694,36101,42117,FALSE,36101,42117,1
15,755,36.7409573582191,22105,22063,FALSE,22063,22105,1
15,514,42.94171097098931,22105,22117,FALSE,22105,22117,1
16,440,49.5606467860191,18073,18149,FALSE,18073,18149,1
16,314,63.67689310686646,18073,17091,FALSE,17091,18073,1
17,742,31.04119069456347,18151,26023,FALSE,18151,26023,1
17,365,35.35246553920583,18151,18087,FALSE,18087,18151,1
18,264,22.71930546142469,25015,25013,FALSE,25013,25015,1
18,279,45.68081407930553,25015,25003,FALSE,25003,25015,1
19,834,22.884724538898265,25025,25021,FALSE,25021,25025,1
19,756,36.08221791667119,25025,25009,FALSE,25009,25025,1
20,754,43.788262874926204,47115,47051,FALSE,47051,47115,1
21,271,27.412192527232676,12053,12101,FALSE,12053,12101,1
21,100,33.42066055371105,12053,12017,FALSE,12017,12053,1
22,482,54.03168858663104,12129,12065,FALSE,12065,12129,1
22,731,95.73737782428795,12129,13275,FALSE,12129,13275,1
23,413,33.69740485561177,28017,28115,FALSE,28017,28115,1
23,373,42.951606584706894,28017,28095,FALSE,28017,28095,1
24,286,40.989791785797806,12127,12117,FALSE,12117,12127,1
24,431,47.927336930634674,12127,12035,FALSE,12035,12127,1
25,461,51.6273479525211,40017,40109,FALSE,40017,40109,1
25,472,70.35733459371615,40017,40027,FALSE,40017,40027,1
26,235,34.60473837940811,13115,13015,FALSE,13015,13115,1
26,97,41.47859129731944,13115,13129,FALSE,13115,13129,1
27,329,35.16966145501488,50011,50015,FALSE,50011,50015,1
27,734,45.776642177851954,50011,50007,FALSE,50007,50011,1
28,577,74.78792923646171,26103,26043,FALSE,26043,26103,1
28,812,108.23325227603618,26103,26041,FALSE,26041,26103,1
29,312,32.818190326482316,09007,09009,FALSE,09007,09009,1
29,183,34.795645808285435,09007,09011,FALSE,09007,09011,1
30,121,33.15284735723789,37057,37159,FALSE,37057,37159,1
30,631,33.71255931962705,37057,37059,FALSE,37057,37059,1
31,46,83.0428655054388,42117,36003,FALSE,36003,42117,1
32,652,27.06386923349844,39017,39061,FALSE,39017,39061,1
32,360,33.9367940026589,39017,39135,FALSE,39017,39135,1
33,211,19.32747989225664,13063,13113,FALSE,13063,13113,1
