src,tgt,dist,isnbr,src_lab,tgt_lab
1,2,320.79888979395383,false,31109,46099
1,11,364.1470979315727,false,31109,29083
1,51,467.93350460423267,false,31109,17067
1,57,179.12324514283762,false,31109,31043
1,78,496.6277062268885,false,31109,27045
1,96,477.03686490642775,false,31109,19031
1,103,262.782294774496,false,31109,20111
1,104,206.30439052492176,false,31109,19027
1,126,165.9731110628586,false,31109,20161
1,142,278.0221254289624,false,31109,19187
2,57,143.14130184613535,false,46099,31043
2,68,354.22400601503193,false,46099,27095
2,78,378.09786865490196,false,46099,27045
2,93,485.0702143406863,false,46099,55053
2,104,239.7172313148755,false,46099,19027
2,121,305.7086258203809,false,46099,27153
2,126,486.6511580757852,false,46099,20161
2,142,253.24554944843996,false,46099,19187
2,147,345.6212667276285,false,46099,19121
2,153,83.05568752738724,false,46099,27105
3,6,44.89089210536884,true,39063,39003
3,9,281.0667902591838,false,39063,42007
3,14,223.35603554633752,false,39063,39085
3,29,289.712406070439,false,39063,18073
3,32,132.5564070900928,false,39063,18151
3,40,433.5124174459995,false,39063,26007
3,47,346.17585236983393,false,39063,26035
3,59,189.58687342128184,false,39063,39017
3,64,315.05824172160567,false,39063,54079
3,66,411.9923215169123,false,39063,18123
4,18,399.04072462445,false,48189,35035
4,49,387.26628568011085,false,48189,40017
4,132,477.85267964722294,false,48189,48181
4,139,70.37048140140311,true,48189,48107
4,201,485.92057853469504,false,48189,40081
4,233,399.4607039337456,false,48189,48367
4,266,337.82887205243526,false,48189,40015
4,273,262.2603747991847,false,48189,48357
4,290,98.9669898450926,false,48189,48305
4,354,392.32826336981634,false,48189,48143
5,7,315.08137143534833,false,01027,13189
5,10,335.16808902123216,false,01027,28061
5,17,219.1142226877505,false,01027,47065
5,19,213.12127986437153,false,01027,01091
5,25,132.49316786229875,false,01027,01049
5,30,431.63775843039133,false,01027,13025
5,31,161.2683691049905,false,01027,13171
5,35,388.15639095873905,false,01027,21003
5,39,208.38125582570942,false,01027,47115
5,44,381.06824786672024,false,01027,12129
6,9,316.5740557530382,false,39003,42007
6,14,267.5906299397166,false,39003,39085
6,29,254.69071397551463,false,39003,18073
6,32,122.55524863422973,false,39003,18151
6,35,482.2664371747233,false,39003,21003
6,40,461.8240384762916,false,39003,26007
6,47,363.0052694381025,false,39003,26035
6,59,153.16982593443672,false,39003,39017
6,64,314.1403712617257,false,39003,54079
6,66,369.21294842159205,false,39003,18123
7,12,385.2993757680141,false,13189,37037
7,15,476.6975329748343,false,13189,51775
7,16,452.52591414404975,false,13189,51121
7,17,312.25226533192694,false,13189,47065
7,25,325.35379219093693,false,13189,01049
7,30,258.1380763836215,false,13189,13025
7,31,161.4257391955657,false,13189,13171
7,35,496.1696954435371,false,13189,21003
7,36,400.3894755323155,false,13189,37001
7,39,341.87171439621113,false,13189,47115
8,29,354.81402102689935,false,55111,18073
8,32,450.74454881375686,false,55111,18151
8,47,415.00651679688457,false,55111,26035
8,51,351.48421574477527,false,55111,17067
8,53,403.9866385330219,false,55111,26103
8,68,402.9643720614315,false,55111,27095
8,74,468.1296120324081,false,55111,18069
8,75,446.6266654699209,false,55111,18169
8,76,477.5767763249106,false,55111,18003
8,77,381.7410029250982,false,55111,18099
9,14,140.74746161615997,false,42007,39085
9,15,378.791319121033,false,42007,51775
9,16,390.15196500367205,false,42007,51121
9,21,484.5085270117075,false,42007,51095
9,26,303.27360136362,false,42007,36101
9,28,353.10957962806924,false,42007,51179
9,32,403.68459816460773,false,42007,18151
9,56,285.3275986153765,false,42007,42117
9,58,497.174339985676,false,42007,51181
9,59,384.4207801162739,false,42007,39017
10,19,127.66196251421533,false,28061,01091
10,22,449.72295220062085,false,28061,22019
10,23,318.71499438064313,false,28061,22111
